Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Food supply quantity (kg/capita/yr),1976,kg,13.77,Fc
Colombia,Food supply quantity (kg/capita/yr),1975,kg,17.33,Fc
Colombia,Food supply quantity (kg/capita/yr),1974,kg,16.17,Fc
Colombia,Food supply quantity (kg/capita/yr),1973,kg,20.09,Fc
Colombia,Food supply quantity (kg/capita/yr),1972,kg,18.22,Fc
Colombia,Food supply quantity (kg/capita/yr),1971,kg,17.07,Fc
Colombia,Food supply quantity (kg/capita/yr),1970,kg,15.14,Fc
Colombia,Food supply quantity (kg/capita/yr),1969,kg,12.05,Fc
Colombia,Food supply quantity (kg/capita/yr),1968,kg,8.7,Fc
Colombia,Food supply quantity (kg/capita/yr),1967,kg,12.58,Fc
Colombia,Food supply quantity (kg/capita/yr),1966,kg,11.99,Fc
Colombia,Food supply quantity (kg/capita/yr),1965,kg,12.73,Fc
Colombia,Food supply quantity (kg/capita/yr),1964,kg,13.77,Fc
Colombia,Food supply quantity (kg/capita/yr),1963,kg,13.31,Fc
Colombia,Food supply quantity (kg/capita/yr),1962,kg,14.26,Fc
Colombia,Food supply quantity (kg/capita/yr),1961,kg,13.53,Fc
Colombia,Food supply quantity (g/capita/day),2013,g/capita/day,28.92,Fc
Colombia,Food supply quantity (g/capita/day),2012,g/capita/day,11.17,Fc
Colombia,Food supply quantity (g/capita/day),2011,g/capita/day,10.38,Fc
Colombia,Food supply quantity (g/capita/day),2010,g/capita/day,17.22,Fc
Colombia,Food supply quantity (g/capita/day),2009,g/capita/day,7.29,Fc
Colombia,Food supply quantity (g/capita/day),2008,g/capita/day,15.59,Fc
Colombia,Food supply quantity (g/capita/day),2007,g/capita/day,9.22,Fc
Colombia,Food supply quantity (g/capita/day),2006,g/capita/day,16.37,Fc
Colombia,Food supply quantity (g/capita/day),2005,g/capita/day,9.31,Fc
Colombia,Food supply quantity (g/capita/day),2004,g/capita/day,12.95,Fc
Colombia,Food supply quantity (g/capita/day),2003,g/capita/day,12.87,Fc
Colombia,Food supply quantity (g/capita/day),2002,g/capita/day,5.03,Fc
